"programa","Tipo","Creation Date","Modified Date","Slug","Creator"
"CGA - Curso de Graduação em Administração","Graduação","May 27, 2025 3:41 pm","May 29, 2025 11:14 am","","(App admin)"
"CGAP - Curso de Graduação em Administração Pública","Graduação","May 27, 2025 3:41 pm","May 29, 2025 11:14 am","","(App admin)"
"AFA - 2ª Graduação em Contabilidade, Finanças e Analytics","Graduação","May 27, 2025 3:42 pm","May 29, 2025 11:14 am","","(App admin)"
"OneMBA","Especialização","May 27, 2025 3:42 pm","May 29, 2025 11:13 am","","(App admin)"
"EMBA - Executive MBA","Especialização","May 27, 2025 3:42 pm","May 29, 2025 11:13 am","","(App admin)"
"EMBA Saúde - Executive MBA Saúde","Especialização","May 27, 2025 3:42 pm","May 29, 2025 11:12 am","","(App admin)"
"MPA - Mestrado Profissional em Administração","Mestrado Profissional","May 27, 2025 3:42 pm","May 29, 2025 11:13 am","","(App admin)"
"MPGI - Mestrado Profissional em Gestão Internacional","Mestrado Profissional","May 27, 2025 3:43 pm","May 29, 2025 11:13 am","","(App admin)"
"MPGPP - Mestrado Profissional em Gestão e Políticas Públicas","Mestrado Profissional","May 27, 2025 3:43 pm","May 29, 2025 11:13 am","","(App admin)"
"MPGC - Mestrado Profissional em Gestão para Competitividade","Mestrado Profissional","May 27, 2025 3:43 pm","May 29, 2025 11:13 am","","(App admin)"
"MPGC - Mestrado Profissional em Gestão para Competitividade","Mestrado Profissional","May 27, 2025 3:44 pm","May 29, 2025 11:13 am","","(App admin)"
"Doutorado Profissional em Administração","Doutorado Profissional","May 27, 2025 3:44 pm","May 29, 2025 11:13 am","","(App admin)"
"CMAE - Mestrado Acadêmico em Administração de Empresas","Mestrado Acadêmico","May 27, 2025 3:44 pm","May 29, 2025 11:16 am","","(App admin)"
"CDAE - Doutorado em Administração de Empresas","Doutorado","May 27, 2025 3:44 pm","May 29, 2025 11:10 am","","(App admin)"
"CMAPG - Mestrado Acadêmico em Administração Pública e Governo","Mestrado Acadêmico","May 27, 2025 3:45 pm","May 29, 2025 11:14 am","","(App admin)"
"CDAPG - Doutorado em Administração Pública e Governo","Graduação","May 27, 2025 3:45 pm","May 29, 2025 11:09 am","","(App admin)"
