"disciplina","programa","Creation Date","Modified Date","Slug","Creator"
"Administração de Técnologia de Informação","CGA - Curso de Graduação em Administração","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Comportamento do Consumidor","CGA - Curso de Graduação em Administração","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Contabilidade Financeira","CGA - Curso de Graduação em Administração","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Ciência Política","CGA - Curso de Graduação em Administração","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Administração Financeira","CGA - Curso de Graduação em Administração","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Análise Estratégica","CGA - Curso de Graduação em Administração","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Análise para Decisões em Marketing","CGA - Curso de Graduação em Administração","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Direito Privado na Empresa","CGA - Curso de Graduação em Administração","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Controladoria","CGA - Curso de Graduação em Administração","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Direito Trabalhista","CGA - Curso de Graduação em Administração","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Estratégia Financeira","CGA - Curso de Graduação em Administração","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Direito Tributário","CGA - Curso de Graduação em Administração","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Estatística II","CGA - Curso de Graduação em Administração","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Experiência Empreendedora","CGA - Curso de Graduação em Administração","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Estatística I","CGA - Curso de Graduação em Administração","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Gestão de Pessoas","CGA - Curso de Graduação em Administração","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Gestão de Operações","CGA - Curso de Graduação em Administração","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Estratégia Mercadológica","CGA - Curso de Graduação em Administração","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Ética e Compliance","CGA - Curso de Graduação em Administração","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Gestão de Projetos","CGA - Curso de Graduação em Administração","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Introdução à Gestão","CGA - Curso de Graduação em Administração","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Modelagem para Apoio à Tomada de Decisão","CGA - Curso de Graduação em Administração","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Lógica de Programação","CGA - Curso de Graduação em Administração","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Macroeconomia","CGA - Curso de Graduação em Administração","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
"Logística Empresarial e SCM","CGA - Curso de Graduação em Administração","Aug 7, 2025 3:22 pm","Aug 7, 2025 3:22 pm","","(App admin)"
